platform,date,year,week,id_project,project_name,start_price,end_price,performance
polygon-ecosystem,2024-04-27,2024,17,376,Bitcoin,64720.0,63215.0,-0.0232540173053152
polygon-ecosystem,2024-04-27,2024,17,345,Binance Coin,572.35,595.21,0.0399405957892897
polygon-ecosystem,2024-04-27,2024,17,659,ChainLink,15.0,14.18,-0.0546666666666666
polygon-ecosystem,2024-04-27,2024,17,6569,The Graph,0.298259,0.267528,-0.1030346108583479
polygon-ecosystem,2024-04-27,2024,17,1036,Polygon,0.737217,0.729333,-0.0106942731922893
polygon-ecosystem,2024-04-27,2024,17,907,Decentraland,0.471862,0.452881,-0.0402257439675159
polygon-ecosystem,2024-04-27,2024,17,5613,Aave,91.66,91.85,0.0020728780274928
polygon-ecosystem,2024-04-27,2024,17,996,Maker,3108.07,2965.03,-0.046022129488718
polygon-ecosystem,2024-04-27,2024,17,6723,Lido DAO,2.1,2.02,-0.0380952380952381
polygon-ecosystem,2024-04-27,2024,17,1005,Synthetix Network Token,3.12,2.91,-0.0673076923076922
