id_project,month,performance
4406,2,0.2507400055718066
986,2,0.051841487882454365
18796,2,0.014176663031624948
8839,2,-0.00845326849136529
996,2,-0.01137715464555589
8477,2,-0.03478105356975325
1004,2,-0.035523275008253495
5518,2,-0.03712012334298393
659,2,-0.04155123335652064
1067,2,-0.0426169304091275
984,2,-0.04467710660954937
979,2,-0.04638218525922495
1006,2,-0.04977375565610854
983,2,-0.05833268059342698
1150,2,-0.06047610034714055
3747,2,-0.06181468113150965
991,2,-0.06277654703166842
769,2,-0.0659083152039148
4688,2,-0.06844024926694714
3844,2,-0.07093265447812995
